"№","Region (RU)","Region (BA)","Region (ENG)","Region (Com. Turk. BA)","District (RU)","District (BA)","District (ENG)","District (Com. Turk. BA)","Name (RU)","Name (BA)","Name (ENG)","Name (Com. Turk. BA)","Clan (RU)","Clan (BA)","Clan (ENG)","Clan (Com. Turk. BA)","Dialect (RU)","Dialect (BA)","Dialect (ENG)","Dialect (Com. Turk. BA)","Sub-dialect & Variety (RU)","Sub-dialect & Variety (BA)","Sub-dialect & Variety (ENG)","Sub-dialect & Variety (Com. Turk. BA)","Map Link","latitude","longitude","Status"
"41","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Бурино","Бүре","Burino","Büre","Салъют-Бикатин","Һалйоғот-Бәкәтин","Salyut-Bikatin","Halyoğot-Bäkätin","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/55.93229/61.83565","55.93229","61.83565",""
"42","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Баязитова","Баязит","Bayazitova","Bayazit","Салъют","Һалйоғот","Salyut","Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/55.90035/61.93270","55.90035","61.9327",""
"43","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Халитово","Хәлит","Khalitovo","Xälit","Салъют","Һалйоғот","Salyut","Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=13/55.86830/61.74955","55.8683","61.74955",""
"44","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Кубагушева","Ҡобағош","Kubagusheva","Qobağoş","Салъют","Һалйоғот","Salyut","Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/55.83370/61.87665","55.8337","61.87665",""
"45","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Баракова","Бараҡ","Barakova","Baraq","Салъют","Һалйоғот","Salyut","Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=13/55.75600/61.81321","55.756","61.81321",""
"46","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Султаново","Солтан","Sultanovo","Soltan","Салъют","Һалйоғот","Salyut","Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/55.63206/61.78265","55.63206","61.78265",""
"47","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Кунакбаева","Ҡунаҡбай","Kunakbayeva","Qunaqbay","Салъют","Һалйоғот","Salyut","Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/55.95866/61.53867","55.95866","61.53867",""
"48","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Большая Казакбаева","Оло Ҡаҙаҡбай","Bolshaya Kazakbayeva","Olo Qaźaqbay","Салъют","Һалйоғот","Salyut","Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/55.92003/61.58399","55.92003","61.58399",""
"49","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Малая Казакбаева","Кесе Ҡаҙаҡбай","Malaya Kazakbayeva","Kese Qaźaqbay","Салъют","Һалйоғот","Salyut","Halyoğot","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Салъютский говор","Һалйоғот һөйләше","Salyut sub-dialect","Halyoğot höyläşe","https://www.openstreetmap.org/#map=14/55.90388/61.58434","55.90388","61.58434",""
"50","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Большая Тюлякова","Оло Түләк","Bolshaya Tyulyakova","Olo Tüläk","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор","Арғаяш һөйләше","Argayash sub-dialect","Arğayaş höyläşe","https://www.openstreetmap.org/#map=14/55.87158/61.52818","55.87158","61.52818",""
"51","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Большая Иркабаево","Оло Иркәбай","Bolshaya Irkabayevo","Olo İrkäbay","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор","Арғаяш һөйләше","Argayash sub-dialect","Arğayaş höyläşe","https://www.openstreetmap.org/#map=14/55.86032/61.49473","55.86032","61.49473",""
"52","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Юлдашева","Юлдаш","Yuldasheva","Yuldaş","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор","Арғаяш һөйләше","Argayash sub-dialect","Arğayaş höyläşe","https://www.openstreetmap.org/#map=14/55.89756/61.36416","55.89756","61.36416",""
"53","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Кулужбаева","Ҡолошбай","Kuluzhbayeva","Qoloşbay","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор","Арғаяш һөйләше","Argayash sub-dialect","Arğayaş höyläşe","https://www.openstreetmap.org/#map=14/55.89792/61.34615","55.89792","61.34615",""
"54","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Ямантаева","Ямантай","Yamantayeva","Yamantay","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор","Арғаяш һөйләше","Argayash sub-dialect","Arğayaş höyläşe","https://www.openstreetmap.org/#map=14/55.91705/61.35214","55.91705","61.35214",""
"55","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Урукуль","Үрәкүл","Urukul","Üräkül","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор","Арғаяш һөйләше","Argayash sub-dialect","Arğayaş höyläşe","https://www.openstreetmap.org/#map=14/55.83344/61.30839","55.83344","61.30839",""
"56","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Канзафарова","Ҡәнзәфәр","Kanzafarova","Qänzäfär","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор","Арғаяш һөйләше","Argayash sub-dialect","Arğayaş höyläşe","https://www.openstreetmap.org/#map=14/55.75646/61.49137","55.75646","61.49137",""
"57","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Арыкова","Арыҡ","Arykova","Arıq","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор","Арғаяш һөйләше","Argayash sub-dialect","Arğayaş höyläşe","https://www.openstreetmap.org/#map=14/55.80676/61.65399","55.80676","61.65399",""
"58","Челябинская область","Силәбе өлкәһе","Chelyabinsk oblast","Siläbe ölkähe","Кунашакский район","Ҡоншаҡ районы","Kunashaksky district","Qonşaq rayonı","Чебакуль","Себәкүл","Chebakul","Sebäkül","Катай","Ҡатай","Katay","Qatay","Восточный (Куваканский) диалект","Көнсығыш (Ҡыуаҡан) диалекты","South (Kuvakansky) dialect","Könsığış (Qıwaqan) dialektı","Аргаяшский говор","Арғаяш һөйләше","Argayash sub-dialect","Arğayaş höyläşe","https://www.openstreetmap.org/#map=14/55.68616/61.39274","55.68616","61.39274",""
